algorithme,instance,run,f
hill_climbing_mixed,4,6,-21624.905543
hill_climbing_mixed,4,7,-21039.097142
hill_climbing_mixed,4,8,-21270.937328
hill_climbing_mixed,4,9,-22683.036709
hill_climbing_mixed,4,10,-23033.958243
hill_climbing_mixed,4,11,-22938.162486
hill_climbing_mixed,4,12,-22361.772627
hill_climbing_mixed,4,13,-19764.832777
hill_climbing_mixed,4,14,-24846.519622
hill_climbing_mixed,4,15,-22471.87485
hill_climbing_mixed,4,16,-22918.087432
hill_climbing_mixed,4,17,-23434.656119
hill_climbing_mixed,4,18,-24432.792209
hill_climbing_mixed,4,19,-21652.182006
hill_climbing_mixed,4,20,-22319.793623
hill_climbing_mixed,4,21,-23042.134746
hill_climbing_mixed,4,22,-21518.873594
hill_climbing_mixed,4,23,-21262.054277
hill_climbing_mixed,4,24,-22568.992845
hill_climbing_mixed,4,25,-25466.988545
hill_climbing_mixed,4,26,-18952.362302
hill_climbing_mixed,4,27,-23169.575157
hill_climbing_mixed,4,28,-22775.007439
hill_climbing_mixed,4,29,-22459.407373
hill_climbing_mixed,5,0,-23732.311703
hill_climbing_mixed,5,1,-28624.538794
hill_climbing_mixed,5,2,-23486.486707
hill_climbing_mixed,5,3,-22952.337323
hill_climbing_mixed,5,4,-21110.186936
hill_climbing_mixed,5,5,-22521.921036
hill_climbing_mixed,5,6,-23900.280762
hill_climbing_mixed,5,7,-19652.515085
hill_climbing_mixed,5,8,-24995.652534
hill_climbing_mixed,5,9,-24427.499311
hill_climbing_mixed,5,10,-19873.222427
hill_climbing_mixed,5,11,-28426.189086
hill_climbing_mixed,5,12,-22791.429574
hill_climbing_mixed,5,13,-22490.606439
hill_climbing_mixed,5,14,-26220.933917
hill_climbing_mixed,5,15,-24646.436291
hill_climbing_mixed,5,16,-20625.589153
hill_climbing_mixed,5,17,-22360.041608
hill_climbing_mixed,5,18,-24860.097378
hill_climbing_mixed,5,19,-18457.383953
hill_climbing_mixed,5,20,-26664.175758
hill_climbing_mixed,5,21,-21875.503562
hill_climbing_mixed,5,22,-19203.913824
hill_climbing_mixed,5,23,-17460.395107
hill_climbing_mixed,5,24,-22621.56552
hill_climbing_mixed,5,25,-21799.210792
hill_climbing_mixed,5,26,-22732.898676
hill_climbing_mixed,5,27,-20362.422007
hill_climbing_mixed,5,28,-23496.941214
hill_climbing_mixed,5,29,-22592.451803
hill_climbing_mixed,6,0,-17736.596819
hill_climbing_mixed,6,1,-26161.986685
hill_climbing_mixed,6,2,-23361.726548
hill_climbing_mixed,6,3,-21311.118399
hill_climbing_mixed,6,4,-19976.691602
hill_climbing_mixed,6,5,-24109.14835
