algorithme,instance,run,f
hill_climbing,5,4,-21945.244823
hill_climbing,5,5,-23220.897681
hill_climbing,5,6,-19973.155662
hill_climbing,5,7,-21473.863961
hill_climbing,5,8,-21753.067122
hill_climbing,5,9,-21952.26647
hill_climbing,5,10,-21542.534214
hill_climbing,5,11,-21946.111168
hill_climbing,5,12,-21995.195642
hill_climbing,5,13,-21086.004018
hill_climbing,5,14,-21642.397895
hill_climbing,5,15,-19685.232769
hill_climbing,5,16,-20780.372686
hill_climbing,5,17,-21383.258961
hill_climbing,5,18,-20319.921691
hill_climbing,5,19,-20410.801678
hill_climbing,5,20,-20922.162797
hill_climbing,5,21,-21467.420358
hill_climbing,5,22,-21107.536736
hill_climbing,5,23,-21362.694769
hill_climbing,5,24,-19502.657173
hill_climbing,5,25,-21302.940446
hill_climbing,5,26,-21125.524574
hill_climbing,5,27,-20438.377164
hill_climbing,5,28,-21065.871212
hill_climbing,5,29,-21103.50144
hill_climbing,6,0,-23103.870452
hill_climbing,6,1,-23754.130431
hill_climbing,6,2,-20245.297181
hill_climbing,6,3,-23007.830225
hill_climbing,6,4,-24965.617092
hill_climbing,6,5,-23086.595545
hill_climbing,6,6,-22632.745481
hill_climbing,6,7,-21794.635007
hill_climbing,6,8,-22088.722534
hill_climbing,6,9,-24476.292187
hill_climbing,6,10,-24059.400596
hill_climbing,6,11,-23794.528317
hill_climbing,6,12,-22575.329236
hill_climbing,6,13,-23565.148234
hill_climbing,6,14,-24497.158357
hill_climbing,6,15,-22716.387863
hill_climbing,6,16,-24087.165106
hill_climbing,6,17,-24714.593797
hill_climbing,6,18,-20742.911507
hill_climbing,6,19,-21967.864379
hill_climbing,6,20,-22932.022649
hill_climbing,6,21,-22830.959859
hill_climbing,6,22,-22330.069998
hill_climbing,6,23,-21747.173531
hill_climbing,6,24,-22129.408578
hill_climbing,6,25,-20719.187307
hill_climbing,6,26,-22109.968856
hill_climbing,6,27,-22558.815816
hill_climbing,6,28,-23144.392365
hill_climbing,6,29,-21810.02016
hill_climbing,7,0,-33337.518639
hill_climbing,7,1,-33392.818154
hill_climbing,7,2,-33486.914139
hill_climbing,7,3,-32038.489382
hill_climbing,7,4,-32282.963125
hill_climbing,7,5,-32493.679443
hill_climbing,7,6,-32569.20913
hill_climbing,7,7,-32999.088987
hill_climbing,7,8,-31701.637982
hill_climbing,7,9,-33691.358048
hill_climbing,7,10,-33700.671012
hill_climbing,7,11,-34478.442595
hill_climbing,7,12,-31517.00375
hill_climbing,7,13,-33641.709068
hill_climbing,7,14,-33140.861611
hill_climbing,7,15,-30913.835806
hill_climbing,7,16,-32351.83722
hill_climbing,7,17,-32937.37754
hill_climbing,7,18,-33009.596234
hill_climbing,7,19,-31004.590441
hill_climbing,7,20,-34720.091146
hill_climbing,7,21,-32367.481783
hill_climbing,7,22,-32616.654813
hill_climbing,7,23,-31857.145305
hill_climbing,7,24,-33259.272167
hill_climbing,7,25,-33331.778625
hill_climbing,7,26,-33134.222903
hill_climbing,7,27,-31112.976904
hill_climbing,7,28,-30325.428667
hill_climbing,7,29,-32646.95937
hill_climbing,8,0,-23422.887685
hill_climbing,8,1,-22863.238274
hill_climbing,8,2,-20391.612126
hill_climbing,8,3,-21575.93033
hill_climbing,8,4,-23024.841972
hill_climbing,8,5,-22807.155276
hill_climbing,8,6,-21648.600936
hill_climbing,8,7,-22845.043766
hill_climbing,8,8,-22439.37234
hill_climbing,8,9,-22643.984927
hill_climbing,8,10,-22283.550415
hill_climbing,8,11,-21230.278536
hill_climbing,8,12,-23439.64595
hill_climbing,8,13,-21927.106102
hill_climbing,8,14,-24393.051332
hill_climbing,8,15,-21556.217392
hill_climbing,8,16,-21611.043159
hill_climbing,8,17,-22768.64645
hill_climbing,8,18,-22990.522348
hill_climbing,8,19,-20613.053695
hill_climbing,8,20,-23373.163716
hill_climbing,8,21,-22923.209653
hill_climbing,8,22,-21972.88816
hill_climbing,8,23,-22126.884686
hill_climbing,8,24,-21723.143741
hill_climbing,8,25,-22767.290537
hill_climbing,8,26,-21370.056093
hill_climbing,8,27,-22901.253209
hill_climbing,8,28,-22298.907562
hill_climbing,8,29,-22998.00649
hill_climbing,9,0,-29180.706623
hill_climbing,9,1,-31345.925243
hill_climbing,9,2,-29428.865758
hill_climbing,9,3,-31450.428666
hill_climbing,9,4,-31271.392404
hill_climbing,9,5,-29615.281447
hill_climbing,9,6,-28782.773105
hill_climbing,9,7,-31310.983153
hill_climbing,9,8,-30363.700351
hill_climbing,9,9,-33939.70589
hill_climbing,9,10,-29517.530655
hill_climbing,9,11,-31637.359135
hill_climbing,9,12,-27968.557609
hill_climbing,9,13,-30832.591112
hill_climbing,9,14,-29852.314436
hill_climbing,9,15,-30761.318099
hill_climbing,9,16,-30804.613814
hill_climbing,9,17,-30272.14961
hill_climbing,9,18,-28808.448678
hill_climbing,9,19,-32022.562045
hill_climbing,9,20,-29309.980572
hill_climbing,9,21,-30446.377563
hill_climbing,9,22,-28710.334173
hill_climbing,9,23,-31103.151854
hill_climbing,9,24,-27206.431009
hill_climbing,9,25,-30938.803249
hill_climbing,9,26,-29189.593244
hill_climbing,9,27,-31003.070144
hill_climbing,9,28,-28445.598324
hill_climbing,9,29,-29286.665255
hill_climbing,10,0,-31051.111972
hill_climbing,10,1,-33879.01538
hill_climbing,10,2,-32898.076662
hill_climbing,10,3,-32431.105371
hill_climbing,10,4,-32047.405174
hill_climbing,10,5,-32751.107788
hill_climbing,10,6,-33857.798556
hill_climbing,10,7,-32805.943018
hill_climbing,10,8,-33784.560358
hill_climbing,10,9,-31927.374208
hill_climbing,10,10,-31717.037167
hill_climbing,10,11,-33227.621369
hill_climbing,10,12,-33360.523233
hill_climbing,10,13,-33266.463579
hill_climbing,10,14,-32322.441378
hill_climbing,10,15,-32813.231018
hill_climbing,10,16,-33387.681147
hill_climbing,10,17,-31537.401424
hill_climbing,10,18,-32870.222803
hill_climbing,10,19,-32240.000147
hill_climbing,10,20,-33350.410794
hill_climbing,10,21,-30675.175714
hill_climbing,10,22,-33022.579981
hill_climbing,10,23,-33477.458409
hill_climbing,10,24,-33717.81692
hill_climbing,10,25,-33051.922756
hill_climbing,10,26,-31859.540692
hill_climbing,10,27,-31795.270651
hill_climbing,10,28,-33364.376895
hill_climbing,10,29,-32210.410512
hill_climbing,11,0,-42098.125351
hill_climbing,11,1,-43425.919064
hill_climbing,11,2,-44618.509239
hill_climbing,11,3,-44459.204882
hill_climbing,11,4,-40525.920015
hill_climbing,11,5,-42193.449177
hill_climbing,11,6,-43656.000254
hill_climbing,11,7,-46749.763226
hill_climbing,11,8,-46667.117393
hill_climbing,11,9,-45590.814459
hill_climbing,11,10,-48049.401779
hill_climbing,11,11,-46639.29446
hill_climbing,11,12,-45718.910663
hill_climbing,11,13,-44414.261455
hill_climbing,11,14,-46429.206842
hill_climbing,11,15,-44959.966798
hill_climbing,11,16,-45088.877018
hill_climbing,11,17,-42698.148824
hill_climbing,11,18,-45507.328221
hill_climbing,11,19,-48317.445649
hill_climbing,11,20,-44840.710606
hill_climbing,11,21,-47874.664057
hill_climbing,11,22,-47785.609117
hill_climbing,11,23,-42508.291908
hill_climbing,11,24,-43496.170783
hill_climbing,11,25,-42546.164202
hill_climbing,11,26,-45683.885034
hill_climbing,11,27,-42547.898196
hill_climbing,11,28,-45349.750258
hill_climbing,11,29,-44169.498099
hill_climbing,12,0,-29776.308753
hill_climbing,12,1,-28872.677765
hill_climbing,12,2,-28394.333843
hill_climbing,12,3,-31477.659854
hill_climbing,12,4,-29838.298066
hill_climbing,12,5,-29848.783213
hill_climbing,12,6,-29883.490056
hill_climbing,12,7,-30193.270502
hill_climbing,12,8,-28261.448859
hill_climbing,12,9,-31690.5321
hill_climbing,12,10,-29533.104586
hill_climbing,12,11,-29490.788189
hill_climbing,12,12,-27994.89946
hill_climbing,12,13,-29252.610215
hill_climbing,12,14,-28241.214709
hill_climbing,12,15,-27838.374409
hill_climbing,12,16,-28399.421583
hill_climbing,12,17,-28529.156959
hill_climbing,12,18,-29276.13945
hill_climbing,12,19,-31471.055519
hill_climbing,12,20,-29641.203534
hill_climbing,12,21,-28854.807407
hill_climbing,12,22,-29978.608886
hill_climbing,12,23,-28049.339999
hill_climbing,12,24,-28351.460346
hill_climbing,12,25,-28217.74021
hill_climbing,12,26,-28985.140986
hill_climbing,12,27,-28334.865503
hill_climbing,12,28,-30475.590009
hill_climbing,12,29,-29109.089657
hill_climbing,13,0,-39015.607425
hill_climbing,13,1,-37061.543595
hill_climbing,13,2,-39893.488443
hill_climbing,13,3,-39690.464432
hill_climbing,13,4,-42872.891492
hill_climbing,13,5,-41011.379398
hill_climbing,13,6,-39294.906798
hill_climbing,13,7,-39501.564869
hill_climbing,13,8,-41385.124859
hill_climbing,13,9,-40897.46567
hill_climbing,13,10,-40669.870341
hill_climbing,13,11,-39633.923711
hill_climbing,13,12,-40388.406879
hill_climbing,13,13,-40674.936429
hill_climbing,13,14,-42190.98356
hill_climbing,13,15,-39070.073482
hill_climbing,13,16,-41629.890253
hill_climbing,13,17,-40986.332627
hill_climbing,13,18,-40393.27713
hill_climbing,13,19,-36559.806851
hill_climbing,13,20,-38476.231751
hill_climbing,13,21,-39774.489257
hill_climbing,13,22,-42783.902763
hill_climbing,13,23,-40916.222045
hill_climbing,13,24,-42426.425302
hill_climbing,13,25,-39042.825412
hill_climbing,13,26,-38154.609642
hill_climbing,13,27,-38044.023485
hill_climbing,13,28,-43823.982131
hill_climbing,13,29,-40179.442709
hill_climbing,14,0,-49581.934551
hill_climbing,14,1,-46730.537765
hill_climbing,14,2,-44522.114838
hill_climbing,14,3,-43719.939904
hill_climbing,14,4,-43929.558118
hill_climbing,14,5,-45857.024165
hill_climbing,14,6,-45042.638816
hill_climbing,14,7,-46282.59267
hill_climbing,14,8,-46502.824037
hill_climbing,14,9,-46677.324711
hill_climbing,14,10,-44586.945865
hill_climbing,14,11,-49586.87425
hill_climbing,14,12,-44955.89516
hill_climbing,14,13,-45751.050387
hill_climbing,14,14,-46254.000862
hill_climbing,14,15,-43201.242221
hill_climbing,14,16,-45738.801252
hill_climbing,14,17,-44718.290066
hill_climbing,14,18,-46753.028339
hill_climbing,14,19,-45132.413899
hill_climbing,14,20,-45885.229843
hill_climbing,14,21,-46485.646284
hill_climbing,14,22,-41070.028768
hill_climbing,14,23,-45963.073724
hill_climbing,14,24,-47484.943745
hill_climbing,14,25,-46750.132503
hill_climbing,14,26,-43407.854451
hill_climbing,14,27,-45921.613583
hill_climbing,14,28,-45936.126699
hill_climbing,14,29,-49230.306537
hill_climbing,15,0,-64377.43119
hill_climbing,15,1,-62391.923644
hill_climbing,15,2,-61717.740957
hill_climbing,15,3,-66914.284768
hill_climbing,15,4,-60379.82628
hill_climbing,15,5,-62566.58526
hill_climbing,15,6,-64936.577068
hill_climbing,15,7,-60963.820959
hill_climbing,15,8,-62735.701568
hill_climbing,15,9,-62789.249675
hill_climbing,15,10,-62133.986901
hill_climbing,15,11,-63251.751367
hill_climbing,15,12,-64795.192757
hill_climbing,15,13,-63647.666324
hill_climbing,15,14,-63309.776581
hill_climbing,15,15,-66554.562627
hill_climbing,15,16,-60424.711037
hill_climbing,15,17,-64551.141917
hill_climbing,15,18,-60577.106449
hill_climbing,15,19,-60240.953483
hill_climbing,15,20,-64597.948756
hill_climbing,15,21,-60048.076299
hill_climbing,15,22,-67109.891376
hill_climbing,15,23,-59164.794345
hill_climbing,15,24,-60159.286193
hill_climbing,15,25,-61537.528295
hill_climbing,15,26,-63085.476518
hill_climbing,15,27,-62775.911791
hill_climbing,15,28,-60378.807793
hill_climbing,15,29,-62065.841231
random_search,0,0,-4897.405381
random_search,0,1,-4809.567537
random_search,0,2,-4952.138528
random_search,0,3,-5094.510656
random_search,0,4,-4765.509667
random_search,0,5,-5533.563424
random_search,0,6,-4863.842955
random_search,0,7,-4504.590046
random_search,0,8,-5777.443201
random_search,0,9,-4874.354868
random_search,0,10,-5427.090304
random_search,0,11,-4560.781866
random_search,0,12,-5091.223013
random_search,0,13,-4728.684443
random_search,0,14,-4433.690605
random_search,0,15,-4912.439906
random_search,0,16,-4868.268261
random_search,0,17,-5082.697714
random_search,0,18,-4862.887328
random_search,0,19,-4827.264967
random_search,0,20,-5031.002314
random_search,0,21,-4943.113582
random_search,0,22,-4662.665406
random_search,0,23,-5787.743607
random_search,0,24,-5345.275652
random_search,0,25,-5178.284485
random_search,0,26,-5112.171396
random_search,0,27,-5282.279428
random_search,0,28,-5675.410474
random_search,0,29,-4702.321223
random_search,1,0,-7056.122726
random_search,1,1,-7050.120673
random_search,1,2,-6630.029032
random_search,1,3,-7736.181479
random_search,1,4,-6602.544949
random_search,1,5,-6764.4003
random_search,1,6,-6270.561103
random_search,1,7,-6853.973307
random_search,1,8,-6564.170827
random_search,1,9,-8848.282394
random_search,1,10,-6375.889649
random_search,1,11,-6350.900255
random_search,1,12,-7914.391856
random_search,1,13,-6312.983173
random_search,1,14,-7065.78659
random_search,1,15,-8340.691305
random_search,1,16,-7067.175531
random_search,1,17,-7042.927714
random_search,1,18,-7561.147924
random_search,1,19,-6228.849526
random_search,1,20,-7318.047262
random_search,1,21,-6515.52303
random_search,1,22,-6319.472032
random_search,1,23,-6658.521983
random_search,1,24,-7612.462064
random_search,1,25,-7065.841398
random_search,1,26,-6204.50944
random_search,1,27,-6373.570105
random_search,1,28,-7641.086399
random_search,1,29,-6908.595584
random_search,2,0,-8518.022898
random_search,2,1,-6270.367276
random_search,2,2,-6720.420883
random_search,2,3,-6538.98932
random_search,2,4,-7141.831822
random_search,2,5,-5910.995052
random_search,2,6,-5975.338254
random_search,2,7,-6617.390779
random_search,2,8,-6128.497763
random_search,2,9,-6525.067289
random_search,2,10,-6672.03978
random_search,2,11,-6500.882529
random_search,2,12,-5932.21651
random_search,2,13,-6523.395665
random_search,2,14,-6040.526147
random_search,2,15,-7236.317548
random_search,2,16,-6017.437981
random_search,2,17,-6331.290024
random_search,2,18,-6532.640358
random_search,2,19,-5679.465914
random_search,2,20,-6053.018871
random_search,2,21,-7059.622439
random_search,2,22,-7698.042411
random_search,2,23,-5836.658035
random_search,2,24,-7130.587697
random_search,2,25,-6805.376674
random_search,2,26,-6704.963659
random_search,2,27,-5940.841332
random_search,2,28,-7232.663441
random_search,2,29,-6197.282404
random_search,3,0,-8887.771543
random_search,3,1,-7534.259203
random_search,3,2,-9600.494619
random_search,3,3,-8330.134482
random_search,3,4,-8625.366497
random_search,3,5,-11784.735862
random_search,3,6,-8284.145183
random_search,3,7,-8025.608781
random_search,3,8,-9313.51506
random_search,3,9,-10293.032929
random_search,3,10,-8921.951811
random_search,3,11,-10680.189371
random_search,3,12,-9044.309607
random_search,3,13,-7863.373575
random_search,3,14,-9159.09482
random_search,3,15,-8537.072741
random_search,3,16,-8768.897815
random_search,3,17,-8879.566137
random_search,3,18,-8202.270243
random_search,3,19,-7657.245669
random_search,3,20,-6929.057116
random_search,3,21,-7623.497678
random_search,3,22,-9060.597091
random_search,3,23,-8915.778979
random_search,3,24,-8866.460385
random_search,3,25,-8221.378155
random_search,3,26,-10088.217056
random_search,3,27,-8607.829123
random_search,3,28,-9369.548064
random_search,3,29,-8454.746196
random_search,4,0,-6207.929297
random_search,4,1,-6231.575856
random_search,4,2,-5769.280028
random_search,4,3,-5571.412508
random_search,4,4,-6284.620576
random_search,4,5,-6535.640187
random_search,4,6,-6529.57966
random_search,4,7,-6681.385352
random_search,4,8,-5697.030918
random_search,4,9,-6098.080605
random_search,4,10,-6315.057108
random_search,4,11,-5613.696816
random_search,4,12,-5663.751416
random_search,4,13,-6130.915106
random_search,4,14,-6732.183385
random_search,4,15,-6102.443849
random_search,4,16,-5936.410807
random_search,4,17,-6349.793659
random_search,4,18,-7054.088578
random_search,4,19,-6580.367563
random_search,4,20,-5640.434183
random_search,4,21,-6120.871058
random_search,4,22,-5920.744993
random_search,4,23,-5946.463624
random_search,4,24,-7352.426163
random_search,4,25,-6087.814838
random_search,4,26,-6499.493931
random_search,4,27,-5980.389021
random_search,4,28,-6803.034856
random_search,4,29,-5667.42373
random_search,5,0,-8743.071589
random_search,5,1,-9149.544599
random_search,5,2,-7042.692134
random_search,5,3,-9463.862299
random_search,5,4,-8239.581942
random_search,5,5,-7811.192168
random_search,5,6,-9464.999765
random_search,5,7,-8475.124716
random_search,5,8,-8041.579812
random_search,5,9,-9088.150988
random_search,5,10,-7923.53868
random_search,5,11,-8734.865202
random_search,5,12,-9775.691999
random_search,5,13,-9826.3256
random_search,5,14,-9741.218446
random_search,5,15,-7148.758988
random_search,5,16,-8254.411332
random_search,5,17,-9378.915602
random_search,5,18,-7699.876775
random_search,5,19,-8677.033906
random_search,5,20,-9877.189938
random_search,5,21,-9413.26247
random_search,5,22,-9421.254514
random_search,5,23,-9987.551212
random_search,5,24,-9586.757999
random_search,5,25,-8510.284135
random_search,5,26,-8522.833684
random_search,5,27,-8474.345289
random_search,5,28,-9529.987408
random_search,5,29,-10806.655762
random_search,6,0,-7662.398542
random_search,6,1,-9284.90174
random_search,6,2,-7950.63238
random_search,6,3,-7686.329283
random_search,6,4,-9534.754796
random_search,6,5,-9209.564041
random_search,6,6,-8882.23447
random_search,6,7,-8262.995509
random_search,6,8,-8795.238707
random_search,6,9,-10051.464598
random_search,6,10,-8377.385484
random_search,6,11,-8681.834677
random_search,6,12,-8826.388646
random_search,6,13,-8987.310279
random_search,6,14,-9519.725625
random_search,6,15,-8087.36002
random_search,6,16,-8020.766364
random_search,6,17,-7913.275074
random_search,6,18,-7362.665464
random_search,6,19,-7572.451484
random_search,6,20,-7814.567271
random_search,6,21,-8819.869247
random_search,6,22,-8746.521333
random_search,6,23,-9067.448912
random_search,6,24,-7558.376437
random_search,6,25,-8596.179406
random_search,6,26,-7439.371365
random_search,6,27,-9183.439174
random_search,6,28,-7662.909286
random_search,6,29,-8428.47994
random_search,7,0,-12430.769756
random_search,7,1,-13148.976054
random_search,7,2,-11928.290906
random_search,7,3,-12796.3086
random_search,7,4,-9950.151969
random_search,7,5,-13303.759513
random_search,7,6,-16607.376823
random_search,7,7,-9997.898666
random_search,7,8,-12646.74823
random_search,7,9,-11269.31726
random_search,7,10,-11906.767206
random_search,7,11,-13282.339045
random_search,7,12,-10909.882139
random_search,7,13,-11652.832897
